article_id,author,published_at,tags,has_video,has_image,content_length,comment_number,readability_index,geographic_scope,category
1,Иванов Петр,2024-01-15 09:30:00,"бюджет,налоги,экономика,политика",0,0,850,45,7.2,национальное,Политика/Внутренняя политика/Экономическая
2,Смирнова Анна,2024-01-15 10:15:00,"ИИ,ChatGPT,технологии,инновации",1,1,4200,89,6.5,международное,Технологии/IT
3,Морозов Андрей,2024-01-15 11:00:00,"футбол,РПЛ,Спартак,спорт",1,1,50,156,8.1,национальное,Спорт/Командные виды
4,Волкова Елена,2024-01-15 12:20:00,"выставка,Третьяковка,живопись,искусство",0,1,920,23,6.8,локальное,Общество/Культура/Искусство
5,Соколов Дмитрий,2024-01-15 13:45:00,"ЦБ,ключевая ставка,инфляция,экономика",1,0,1100,67,5.9,национальное,Экономика/Макроэкономика/Инфляция
6,Кузнецов Игорь,2024-01-15 14:30:00,"дипломатия,переговоры,СНГ,политика",0,0,980,34,6.4,международное,Политика/Международные отношения
7,Соколов Дмитрий,2024-01-16 08:00:00,"стартап,инвестиции,венчур,бизнес",1,1,780,52,7.0,национальное,Экономика/Бизнес
8,Петрова Мария,2024-01-16 09:15:00,"церковь,РПЦ,праздник,религия",0,0,60,78,7.5,региональное,Общество/Религия
9,Иванов Петр,2024-01-16 10:30:00,"экология,леса,заповедник,политика",0,1,840,41,6.7,региональное,Политика/Внутренняя политика/Экологическая
10,Волкова Елена,2024-01-16 11:45:00,"премьера,кинотеатр,режиссер,искусство",1,1,720,95,7.8,национальное,Общество/Культура/Кино
11,Соколов Дмитрий,2024-01-16 13:00:00,"доллар,евро,биржа,экономика",0,1,430,112,6.2,международное,Экономика/Макроэкономика/Курсы валют
12,Морозов Андрей,2024-01-16 14:20:00,"теннис,Медведев,турнир,спорт",1,1,4590,134,8.3,международное,Спорт/Индивидуальные виды
13,Смирнова Анна,2024-01-17 08:30:00,"квантовые компьютеры,физика,исследование,наука,технологии",0,1,1350,28,5.1,международное,Технологии/Наука
14,Кузнецов Игорь,2024-01-17 09:50:00,"губернатор,область,инфраструктура,политика",0,0,765,56,7.4,региональное,Политика/Региональная политика
15,Соколов Дмитрий,2024-01-17 11:10:00,"Сбербанк,кредит,вклады,банки,экономика",0,1,5680,87,6.9,национальное,Экономика/Финансы/Банки
16,Петрова Мария,2024-01-17 12:30:00,"образование,школа,реформа,общество",0,1,1020,145,6.6,национальное,Общество/Социальные вопросы
17,Морозов Андрей,2024-01-17 13:45:00,"Олимпиада,Париж-2024,подготовка,спорт",1,1,90,203,7.9,международное,Спорт/Международные соревнования/Олимпиады
18,Волкова Елена,2024-01-17 15:00:00,"опера,Большой театр,премьера,искусство",0,1,625,31,7.1,локальное,Общество/Культура/Театр
19,Соколов Дмитрий,2024-01-18 08:15:00,"ВВП,рост,экономика,статистика",1,0,50,74,6.0,национальное,Экономика/Макроэкономика/ВВП
20,Иванов Петр,2024-01-18 09:40:00,"культурное наследие,музей,реставрация,политика",0,0,810,19,6.8,региональное,Политика/Внутренняя политика/Культурная
21,Соколов Дмитрий,2024-01-18 11:00:00,"акции,дивиденды,инвесторы,биржа,экономика",0,1,570,98,6.3,национальное,Экономика/Финансы/Фондовый рынок
22,Волкова Елена,2024-01-18 12:20:00,"рок-концерт,группа,фестиваль,музыка,искусство",1,1,490,167,8.5,локальное,Общество/Культура/Музыка
23,Морозов Андрей,2024-01-18 13:35:00,"чемпионат мира,хоккей,сборная,спорт",1,0,740,189,8.0,международное,Спорт/Международные соревнования/Чемпионаты мира
24,Иванов Петр,2024-01-18 14:50:00,"пенсии,льготы,соцзащита,политика,общество",1,0,1080,221,7.3,национальное,Политика/Внутренняя политика/Социальная
25,Смирнова Анна,2024-01-18 16:05:00,"кибербезопасность,хакеры,защита данных,технологии",1,1,1150,63,5.8,международное,Технологии/IT
26,Морозов Андрей,2024-01-19 09:00:00,"Кубок,финал,награждение,спорт",1,1,520,178,8.2,международное,Спорт/Международные соревнования/Кубки